JobTitle	BasePay	OvertimePay	OtherPay	Benefits	TotalPay	TotalPayBenefits	Year	Status
Depty Sealer of Weights & Meas	97482	3	881	50204	85388.51	117899.67	2014	FT
Automotive Service Worker	72214	3899	9045	42636	87422.89	117889.37	2014	FT
Truck Driver	92944	46172	28206	46679	86247.93	117879.84	2014	FT
Sr Payroll & Personnel Clerk	87155	8356	72433	41357	87785.29	117878.07	2014	FT
Librarian 1	95382	3	45095	50260	85350.45	117873.43	2014	FT
Administrative Analyst	97715	3	7	52985	84659.01	117870.76	2014	FT
Police Officer	94268	45476	22857	43483	87175.16	117862.46	2014	FT
Environmental Spec	98277	3	7	50203	85321.01	117831.97	2014	FT
Environmental Spec	98279	3	7	50195	85321.04	117830.65	2014	FT
Licensed Vocational Nurse	86718	9193	73627	40771	87856.28	117811.37	2014	FT
Carpenter	96223	1953	22295	48829	85631.91	117806.84	2014	FT
Manager II, MTA	81315	3	30060	33174	89753.27	117805.64	2014	PT
Apprentice Stationary Engineer	89634	27942	69512	49667	85415.2	117805.14	2014	FT
Special Nurse	109596	19169	18327	7	117804.04	117804.04	2014	PT
Senior Management Assistant	98121	3	7	50783	85142.86	117801.27	2014	FT
Real Property Appraiser	97235	3	7186	50151	85284.11	117784.88	2014	FT
Administrative Analyst	97720	3	66386	50158	85283.07	117784.56	2014	FT
Worker's Compensation Adjuster	97717	3	66386	50158	85283.03	117784.52	2014	FT
Worker's Compensation Adjuster	97716	3	66386	50158	85283.02	117784.51	2014	FT
Nursing Assistant	80767	12578	52515	39545	88135.56	117764.76	2014	FT
Personnel Analyst	98520	3	7	48680	85611.3	117749.9	2014	FT
Librarian 2	96900	3	17738	50081	85249.41	117733.56	2014	FT
Employee Relations Representat	97435	3	31370	45188	86543.43	117733.29	2014	PT
Transit Operator	79420	4650	41594	62966	82095.89	117732.17	2014	FT
Administrative Analyst	97679	3	66319	50074	85233.56	117716.43	2014	FT
Sr. Environmental Spec	99494	3	7	44773	86644.58	117708.23	2014	PT
Senior Parking Control Officer	84267	11125	28209	39935	87948.65	117681.33	2014	FT
Stationary Eng, Sewage Plant	92468	31119	58972	43566	86968.06	117675.83	2014	PT
HSA Sr Eligibility Worker	88296	2527	18229	42846	87150.75	117664.22	2014	FT
Estate Investigator	95564	38689	7	47240	85866.86	117662.09	2014	FT
Nursing Assistant	80767	9374	62934	40610	87745.53	117656.5	2014	FT
Maintenance Machinist	95145	5677	30403	50729	84995.23	117636.09	2014	FT
Architectural Assistant 2	97913	3	35809	50036	85157.73	117633.89	2014	FT
Principal Clerk	85161	9564	24292	40555	87733.28	117632.25	2014	FT
Painter	93819	37825	1195	51388	84807.2	117622.44	2014	FT
Electronic Maintenance Tech	98559	58150	16678	42249	87269.1	117616.17	2014	PT
Nurse Practitioner	99651	33571	34847	41689	87403.38	117592.63	2014	PT
Transit Operator	74830	17707	42592	54662	83946.95	117560.16	2014	FT
Marriage, Family & Child Cnslr	98577	3	7	47544	85687.01	117557.85	2014	FT
Medical Social Worker	96682	3	881	52796	84394.42	117556.68	2014	FT
Customer Service Agent Supv	94430	26253	30936	48053	85535.57	117534.92	2014	FT
Eligibility Worker Supervisor	96055	10070	10243	48908	85331.32	117530.29	2014	FT
Transit Operator	77617	2531	55723	62900	81906.4	117524.56	2014	FT
Electrical Transit System Mech	95292	15634	24438	48659	85374.47	117507.31	2014	FT
Health Care Analyst	97473	3	7	52763	84353.5	117504.82	2014	FT
Transit Operator	71874	19322	16209	52450	84416.27	117486.26	2014	FT
Transit Operator	74207	837	71760	62305	82013.66	117477.39	2014	FT
Senior Administrative Analyst	97447	3	7	52725	84329.05	117470.48	2014	FT
Transit Operator	71715	10673	61640	57040	83274.92	117455.7	2014	FT
Fingerprint Technician 3	83278	6409	49061	44153	86554.59	117440.64	2014	FT
Transit Operator	73594	10345	51606	58149	82992.04	117418.44	2014	FT
Transit Operator	71781	17081	35850	53537	84023.65	117383.01	2014	FT
EMT/Paramedic/Firefighter	95312	15575	37970	44710	86331.29	117370.71	2014	FT
Registered Nurse	87288	34594	7422	34522	89012.67	117366	2014	PT
Transit Operator	76927	11929	80780	61186	82208.51	117360.15	2014	FT
Asst Engr	97380	3	7	52612	84233.43	117348.62	2014	FT
Asst Engr	97379	3	7	52611	84233.41	117348.59	2014	FT
Recreation Supervisor	97022	37980	73848	49520	84986.69	117341.51	2014	FT
Electrical Transit System Mech	93579	56896	64679	39665	87677.53	117339.16	2014	FT
Park Section Supervisor	91357	62328	7	44072	86468.52	117327.18	2014	FT
IT Operations Support Admn III	97915	3	7	49789	84898.07	117315.27	2014	FT
IS Trainer-Journey	97913	3	7	49790	84898.04	117315.25	2014	FT
IT Operations Support Admn III	97913	3	7	49788	84898.04	117315.23	2014	FT
IT Operations Support Admn III	97911	3	7	49788	84898.02	117315.21	2014	FT
IT Operations Support Admn III	97911	3	7	49787	84898.02	117315.2	2014	FT
IT Operations Support Admn III	97910	3	7	49787	84898.01	117315.19	2014	FT
IS Trainer-Journey	97911	3	7	49786	84898.02	117315.19	2014	FT
IT Operations Support Admn III	97910	3	7	49786	84898.01	117315.18	2014	FT
Architectural Assistant 2	97910	3	7	49786	84898.01	117315.18	2014	FT
IT Operations Support Admn III	97910	3	7	49786	84898.01	117315.18	2014	FT
IS Administrator 2	97909	3	7	49786	84898	117315.17	2014	FT
IT Operations Support Admn III	97909	3	7	49786	84898	117315.17	2014	FT
IS Administrator 2	97909	3	7	49786	84898	117315.17	2014	FT
IS Administrator 2	97909	3	7	49786	84898	117315.17	2014	FT
Victim/Witness Investigator 3	97318	3	7	52582	84162.41	117269.7	2014	FT
Program Specialist	96050	61458	17255	49135	84997.49	117252.58	2014	FT
Transit Operator	75438	63033	72525	63688	81388.26	117229.85	2014	FT
Transit Operator	67112	19347	59794	49914	84780.95	117226.21	2014	FT
Librarian 1	95462	3	39026	49557	84852.48	117217.9	2014	FT
Parking Control Officer	66962	31534	75957	28656	90187.82	117215.13	2014	FT
Cable Splicer	99373	3	7	43386	86542.53	117198.49	2014	PT
Customer Service Agent Supv	94429	36899	1618	47098	85444.23	117198.01	2014	FT
Program Specialist	96050	7553	4476	48766	85023.65	117183.61	2014	FT
Utility Specialist	97221	3	7	52496	84071.18	117153.99	2014	FT
Protective Services Worker	105904	3	27375	16544	94890.82	117136.25	2014	FT
Transit Operator	70570	13593	58037	54582	83533.44	117129.01	2014	FT
Architectural Assistant 2	97779	3	7	49513	84735.22	117088.78	2014	FT
Transit Supervisor	81507	7914	42657	48469	84993.08	117078.45	2014	FT
Protective Services Worker	96726	3	61756	52432	83996.55	117061.21	2014	FT
HSA Sr Eligibility Worker	88290	65817	27742	43187	86456.33	117058.15	2014	FT
Electrical Transit System Mech	95368	3	38608	49588	84680.02	117052.38	2014	FT
Stationary Engineer	92829	5026	55045	52321	84007.52	117046.06	2014	FT
HSA Sr Eligibility Worker	88289	65825	27258	43152	86440.22	117038.43	2014	FT
IT Operations Support Admn III	97727	3	7	49573	84669	117037.35	2014	FT
Administrative Analyst	97719	3	7	49564	84659.05	117026.04	2014	FT
Administrative Analyst	97718	3	7	49554	84659.04	117024.21	2014	FT
Administrative Analyst	97716	3	7	49555	84659.02	117024.2	2014	FT
Administrative Analyst	97716	3	7	49554	84659.02	117024.19	2014	FT
Worker's Compensation Adjuster	97715	3	7	49554	84659.01	117024.18	2014	FT
Administrative Analyst	97716	3	7	49553	84659.02	117024.18	2014	FT
Administrative Analyst	97715	3	7	49554	84659.01	117024.18	2014	FT
Administrative Analyst	97714	3	7	49553	84659	117024.16	2014	FT
Administrative Analyst	97714	3	7	49553	84659	117024.16	2014	FT
Administrative Analyst	97714	3	7	49553	84659	117024.16	2014	FT
Administrative Analyst	97714	3	7	49553	84659	117024.16	2014	FT
Stationary Eng, Sewage Plant	92219	23217	60851	43650	86279.81	117012.49	2014	PT
Transit Operator	72519	10995	53153	56829	82879.64	117012.36	2014	FT
Transit Operator	79160	9948	74541	60108	82129.75	116999.99	2014	FT
Dietitian	97568	3	27653	49353	84677.52	116990.98	2014	FT
Automotive Mechanic	92162	44613	62747	49212	84702.42	116979.28	2014	FT
EMT/Paramedic/Firefighter	87969	872	14595	44236	86035.38	116946.23	2014	FT
Executive Secretary 2	94147	29352	25164	47425	85104.93	116943.42	2014	FT
Parking Meter Repairer Sprv 1	96046	14218	66386	48320	84887.6	116936.7	2014	FT
Medical Records Technician	82638	16098	68842	37746	87785.95	116936.16	2014	FT
Transit Operator	75530	12564	21641	57200	82711.15	116926.97	2014	FT
Transit Operator	74445	16980	49180	54369	83371.69	116914.79	2014	FT
Transit Power Line Worker	58559	41162	16836	14393	96278.89	116910.6	2014	PT
Personal Property Auditor	97235	3	55922	49478	84564.11	116908.06	2014	FT
Personal Property Auditor	97229	3	55922	49477	84564.03	116907.95	2014	FT
Personal Property Auditor	97228	3	55922	49475	84564.02	116907.92	2014	FT
Engineering Assistant	86110	10287	7	39940	87161.51	116896.39	2014	FT
HSA Sr Eligibility Worker	88292	65243	28200	43201	86286.69	116893.24	2014	FT
Transit Operator	83084	5851	24673	58860	82306.67	116889.1	2014	FT
Transit Car Cleaner Asst Sprv	77711	62381	6759	41248	86820.91	116881.42	2014	FT
Librarian 1	95323	3	37423	49455	84534.2	116871.85	2014	FT
Manager I	85603	3	16483	38471	87535.08	116868.35	2014	PT
Fusion Welder	96477	3	27191	47124	85099.85	116861.57	2014	FT
Transit Operator	71974	18051	17135	52617	83739.55	116855.04	2014	FT
Public SafetyComm Disp	91952	40602	50937	41979	86591.48	116853.56	2014	PT
Licensed Vocational Nurse	78468	10181	61512	41907	86600.97	116840.91	2014	FT
Mayoral Staff XV	93491	3	7	67582	79814.59	116837.21	2014	PT
Librarian 1	96325	3	16692	49625	84455.43	116835.44	2014	FT
Special Nurse	1364	27539	3349	2392	115670.25	116826.96	2014	PT
Transit Operator	68133	19763	49916	49506	84472.75	116824.71	2014	FT
Stationary Engineer	89729	54374	43416	43943	86003.62	116818.85	2014	FT
IS Business Analyst-Principal	94726	3	81165	26034	90364.86	116814.28	2014	PT
Carpenter	97051	55464	51090	48932	84605.84	116809.69	2014	FT
Parts Storekeeper	68642	28206	5622	34119	88532.7	116797.52	2014	FT
Transit Operator	78482	10847	70113	59129	82132.57	116779.88	2014	FT
Firefighter	92983	14489	75270	32276	88926.55	116779.47	2014	PT
Librarian 2	95739	3	16377	52184	83763.6	116773.38	2014	FT
Transit Operator	77387	5463	43757	61204	81606.88	116763.96	2014	FT
Stationary Engineer	91326	61074	7	43553	86055.83	116759.78	2014	FT
Ornamental Iron Worker	94616	24845	15250	47433	84913.22	116754	2014	FT
Administrative Analyst	97549	3	7	49252	84452.36	116739.66	2014	FT
Special Nurse	129	57043	1210	89927	111205.89	116737.22	2014	PT
Estate Investigator	95563	30440	7	47228	84931.75	116724.78	2014	FT
Senior Administrative Analyst	97694	3	7	48492	84634.6	116724.73	2014	PT
Librarian 1	95328	3	36034	49349	84402.43	116712.83	2014	FT
Painter Supervisor 1	104127	26050	7	15794	94972.57	116688.13	2014	FT
Transit Operator	74211	17042	41235	53986	83215.51	116672.38	2014	FT
Transit Operator	77601	59291	64285	66778	79910.83	116667.78	2014	FT
Architectural Assistant 2	97525	3	7	49057	84414.13	116648.17	2014	FT
Transit Operator	75543	3609	56860	61163	81493.57	116638.78	2014	FT
Senior Personnel Analyst	96599	3	47757	52037	83647.03	116633.96	2014	FT
Transit Operator	67728	14046	70081	52379	83578.43	116631.44	2014	FT
Senior Deputy Sheriff	94324	3	72792	35454	88060.03	116629.69	2014	PT
Automotive Mechanic	92158	49141	10903	45596	85306.13	116628.95	2014	FT
Transit Operator	77048	9887	22384	58985	82010.78	116627.57	2014	FT
Accountant III	97558	3	7	48760	84465.32	116623.43	2014	FT
Legislative Assistant	96879	3	7	52020	83634.82	116616.94	2014	FT
Transit Operator	70930	21630	51287	49589	84226.92	116599.38	2014	FT
IT Operations Support Admn III	97487	3	7	48985	84370.78	116588.9	2014	FT
Ornamental Iron Worker	94614	38387	31637	51718	83662.79	116563.11	2014	FT
Central Processing & Dist Tech	83253	1466	63829	41637	86382.68	116558.28	2014	FT
Ornamental Iron Worker	94616	2648	33330	48260	84512.87	116546.48	2014	FT
Personnel Analyst	97769	3	7	47356	84723.39	116544.45	2014	FT
Accountant III	97226	3	15847	44342	85591.06	116544.12	2014	PT
Transit Operator	78653	5823	32786	61241	81370.28	116538.74	2014	FT
Pharmacy Technician	93782	9613	40560	48206	84502.49	116523.23	2014	FT
Plumber	96683	11860	9720	42158	86200.77	116519.51	2014	PT
Transit Operator	76542	2099	54977	61874	81157.64	116504.72	2014	FT
Water Service Inspector	104585	9682	20464	15920	94663.57	116490.96	2014	FT
Health Worker 4	78194	14297	47076	39147	86955.89	116483.06	2014	FT
Transit Operator	73011	3875	62394	62405	80990.92	116478.6	2014	FT
Transit Operator	70482	20500	11272	49967	83987.03	116447.84	2014	FT
Carpenter	96474	3	7257	48589	84316.88	116429.32	2014	FT
Transit Operator	74418	12976	23741	56047	82468.02	116418.5	2014	FT
Transit Supervisor	94198	33266	43941	48906	84204.2	116402.67	2014	FT
Attorney (Civil/Criminal)	105073	3	175	15749	94699.5	116387.93	2014	PT
Transit Operator	72580	16727	12706	53179	83115.72	116382.36	2014	FT
Program Specialist	96049	3	16590	49124	84128.03	116379.43	2014	FT
Physical Therapist Assistant	97463	3	134	47771	84446.81	116368.95	2014	FT
Transit Operator	75911	11106	20408	57599	82049.99	116359.23	2014	FT
Planner 4	94092	3	12024	16664	94025.04	116353.22	2014	PT
Transit Operator	72303	19167	47758	51620	83454.37	116332.48	2014	FT
Fingerprint Technician 3	83277	13496	7	41092	86310.82	116330.38	2014	FT
Painter	90802	45003	32639	48437	84233.59	116310.4	2014	FT
Parking Control Officer	58959	33505	28569	36215	87518.84	116279.31	2014	FT
Social Work Specialist	96049	3	14384	49044	84044.03	116274.95	2014	FT
Transit Operator	74075	12195	44701	51253	83492.11	116273.81	2014	FT
Transit Operator	75537	13308	80376	56119	82297.49	116267.37	2014	FT
Public Health Nurse	98040	3	7	45327	85034.26	116260.72	2014	PT
Licensed Vocational Nurse	86717	45756	70411	45550	84945.43	116252.76	2014	FT
Special Nurse	109406	3	17096	2327	115090.45	116241.36	2014	PT
Automotive Machinist	95764	56911	5499	48575	84127.57	116236.84	2014	FT
Transit Supervisor	84181	63138	48524	50339	83679.03	116220.53	2014	FT
Transit Operator	76410	9971	22620	58293	81761.45	116219.05	2014	FT
Utility Specialist	98750	3	7	42222	85877.88	116215.2	2014	PT
Automotive Service Worker	72212	63743	10804	43059	85640.07	116214.51	2014	FT
Stationary Engineer	92372	56375	54996	48493	84117.87	116208.29	2014	FT
Transit Operator	78907	8550	79604	59918	81367.4	116194.8	2014	FT
Assistant Counselor	66115	23999	68691	30352	88781.31	116181.81	2014	FT
Stationary Engineer	92252	3	54917	51691	83284.18	116180.18	2014	FT
Public Health Nurse	97761	3	74006	43510	85476.54	116172.95	2014	PT
Transit Car Cleaner	68779	14693	81353	37771	87004.51	116159.56	2014	FT
Trans Safety Specialist	94554	39492	45474	31599	88441.58	116142.62	2014	PT
Purchaser	96589	3	7	51665	83251.02	116140.85	2014	FT
Senior Administrative Analyst	96240	3	51114	51703	83232.8	116131.03	2014	FT
Power Generation Technician 1	87970	64041	22012	44130	85246.18	116125.82	2014	FT
Transit Operator	74922	62612	70265	62696	80549.76	116115.95	2014	FT
Transit Operator	76178	11123	11418	57445	81838.59	116114.42	2014	FT
Transit Operator	72198	19014	46230	51478	83268.87	116108	2014	FT
Librarian 1	95329	3	29410	48921	83901.12	116101.2	2014	FT
Transit Operator	71536	19966	47758	50610	83478.1	116087.87	2014	FT
Transit Operator	78688	64595	45730	65456	79727	116076.98	2014	FT
Transit Operator	76268	9774	24015	58197	81637.38	116075.21	2014	FT
Deputy Sheriff (SFERS)	83780	62402	61775	45681	84724.3	116070.64	2014	FT
Program Specialist	96049	12292	7	47729	84153.32	116066.08	2014	FT
Carpenter	94758	10120	23646	46430	84493.02	116063.34	2014	FT
Truck Driver	92941	29769	31915	46863	84362.56	116047.73	2014	FT
Transit Operator	71494	18019	11573	51617	83155.45	116032.34	2014	FT
Administrative Analyst	97129	3	7	48465	83928.61	116013.07	2014	FT
Special Nurse	105352	19403	82380	2266	114861.83	116010.42	2014	PT
Painter	90803	47616	33559	45408	84757.1	116008.94	2014	FT
Museum Guard	66819	14640	6923	31132	88405.13	115998.02	2014	FT
Truck Driver	92950	36427	19209	46354	84439.77	115987.23	2014	FT
Transit Operator	74697	11447	27437	56593	81911.76	115981.11	2014	FT
Deputy Sheriff	91055	33195	73516	31920	88206.33	115980.34	2014	PT
Librarian 1	95030	3	32844	48647	83820.49	115951.1	2014	FT
Track Maintenance Worker	71820	18790	55484	35902	87263.8	115942.46	2014	FT
Administrative Analyst	96444	3	7	51544	83079.51	115938.74	2014	FT
IS Administrator 2	95331	24481	7	47094	84159.16	115911.99	2014	FT
Pharmacy Technician	93782	36616	76842	46165	84411.51	115905.08	2014	FT
Registered Nurse	90251	5401	4295	8511	99962.92	115893.9	2014	PT
Transit Operator	77555	61188	61709	63695	80048.39	115891.94	2014	FT
Stationary Engineer	92300	24338	56572	48604	83762.89	115879.03	2014	FT
Police Officer	94267	13290	15192	48882	83682.48	115874.95	2014	FT
Patient Care Assistant	80767	16760	79251	36544	87023.66	115870.12	2014	FT
Transit Operator	79066	726	35091	64782	79712.57	115857.13	2014	FT
Transit Operator	70244	9059	75812	48413	83778.87	115851.48	2014	FT
Glazier	94779	3	30764	49603	83454.52	115829.62	2014	FT
Transit Operator	73779	13773	12508	54797	82147.14	115796.69	2014	FT
IS Programmer Analyst	94500	3	74245	29403	88602.8	115790.31	2014	FT
Transit Fare Inspector	73691	4063	62525	57489	81497.4	115783.86	2014	FT
Senior Management Assistant	96878	3	7	48719	83634	115782.6	2014	FT
Licensed Vocational Nurse	86717	44047	69374	45572	84468.02	115782.15	2014	FT
Police Officer 3	97807	3	44494	31059	88206.53	115778.93	2014	PT
Transit Car Cleaner	66913	16500	82527	35889	87102.97	115778.51	2014	FT
Assistant Const Inspector	94477	26716	7	49563	83398.25	115765.19	2014	FT
Deputy Sheriff	92402	3	71961	40011	86001.76	115760.54	2014	PT
Senior Administrative Analyst	96345	3	7	51431	82934.62	115760.5	2014	FT
Licensed Vocational Nurse	86717	38585	69277	48526	83655.73	115753.36	2014	FT
Station Agent, Muni Railway	93542	37666	73844	46020	84297.66	115746.47	2014	FT
Transit Operator	71163	18164	12184	51087	82998.33	115736.75	2014	FT
Airport Operations Supervisor	91430	32604	43559	46140	84247.54	115730.85	2014	FT
Program Specialist	96053	3	175	48660	83589.07	115722.14	2014	FT
Sr. Community Devl Spc 1	96843	3	7	48656	83577.23	115709.6	2014	FT
Eligibility Worker Supervisor	96052	3	83759	48642	83574.06	115702.8	2014	FT
Stationary Engineer	91525	62200	57952	47534	83818.32	115686.21	2014	FT
Transit Operator	75611	11286	68214	59471	80954.76	115680.02	2014	FT
Victim/Witness Investigator 3	96808	3	7	48639	83546.28	115673.72	2014	FT
Pr Payroll & Personnel Clerk	94595	32339	33607	46436	84091.87	115663.81	2014	FT
Real Property Appraiser	95177	3	7536	51355	82847.32	115653.03	2014	FT
Senior Administrative Analyst	96250	3	7	51342	82825.42	115626.9	2014	FT
Nutritionist	97430	3	7	45582	84308.22	115625.68	2014	FT
Water Service Inspector	97305	3452	46883	42087	85317.58	115615.08	2014	PT
Nutritionist	97429	3	7	45518	84306.89	115601.42	2014	FT
Executive Secretary 3	95657	3	68446	51281	82796.57	115585.36	2014	FT
Senior Administrative Analyst	104396	3	7	17200	92842.54	115569.62	2014	FT
Transit Operator	72283	14207	29415	53640	82175.89	115557.85	2014	FT
Librarian 1	95006	3	28405	48318	83491.94	115540.75	2014	FT
Transit Operator	77116	61856	55310	65273	79241.09	115536.39	2014	FT
Registered Nurse	94161	44850	33895	32646	87596.87	115530.45	2014	PT
Executive Secretary 3	96336	3	57848	48537	83429.01	115528.52	2014	FT
Track Maintenance Worker	57353	33396	73396	19157	91563.19	115526.79	2014	PT
Administrative Analyst	97715	3	7	44077	84659.01	115519.43	2014	FT
Survey Assistant II	95558	14066	7	47238	83717.53	115512.74	2014	FT
Librarian 1	95321	3	18424	48479	83405.54	115493.21	2014	FT
Automotive Service Worker	70158	7251	4254	39153	85934.25	115463.04	2014	FT
Electrical Line Helper	90284	60882	52701	42660	84989.69	115460.92	2014	FT
Ornamental Iron Worker	94614	57279	21754	47889	83502.44	115456.74	2014	FT
Social Work Specialist	96050	3	74697	48455	83369.04	115449.88	2014	FT
Transit Operator	78613	348	42470	62151	80013.46	115435.86	2014	FT
Librarian 1	95299	3	17559	48430	83351.7	115427.59	2014	FT
Electrical Transit System Mech	95371	2281	66043	47602	83537.93	115423.57	2014	FT
Transit Operator	73949	13830	83131	54452	81847.46	115414.14	2014	FT
Transit Operator	74541	14552	36499	54308	81873.17	115405.25	2014	FT
Librarian 1	95321	3	16167	48414	83320.79	115393.56	2014	FT
Licensed Vocational Nurse	86717	5220	41877	40417	85526.31	115387.86	2014	FT
Transit Operator	75713	63051	58801	64453	79331.31	115380.21	2014	FT
Electrical Transit System Mech	95367	24341	64679	50947	82665.36	115366.42	2014	FT
Librarian 1	95251	3	79559	51063	82616.14	115348.65	2014	FT
Automotive Service Worker	72212	6451	82819	40123	85542.96	115336.73	2014	FT
Transit Operator	73263	15479	67591	53201	82058.73	115331.29	2014	FT
Station Agent, Muni Railway	93539	24779	14744	46592	83710.63	115317.12	2014	FT
Librarian 1	95245	3	16474	48317	83264.52	115312.99	2014	FT
Purchaser	96590	3	7	48352	83251.04	115308.36	2014	FT
Purchaser	96588	3	7	48352	83251.01	115308.33	2014	FT
Deputy Sheriff (SFERS)	91481	17438	41897	49807	82885.54	115307.43	2014	FT
Transit Operator	79186	2477	29085	61587	80032.29	115295.79	2014	FT
Transit Operator	71740	16237	12732	52067	82296.84	115291.37	2014	FT
Maintenance Machinist	95370	65294	64679	47588	83398.56	115279.95	2014	FT
Librarian 1	95320	3	13618	48336	83222.99	115274.09	2014	FT
Program Specialist	96053	3	66386	48333	83213.07	115263.96	2014	FT
Program Specialist	96053	3	66386	48321	83213.07	115262.18	2014	FT
Maintenance Planner	90108	3	69189	48329	83192.81	115243.11	2014	FT
Program Specialist	96049	57666	7	47729	83327.98	115240.74	2014	FT
Museum Guard	69132	22468	49758	33245	87157.95	115230.09	2014	FT
Automotive Body & Fender Wrk	92324	45094	64679	45196	84023.93	115216	2014	FT
Health Care Analyst	96316	3	7	49281	82909	115204.68	2014	FT
Accountant III	95958	3	7	51006	82481.97	115201.34	2014	FT
Librarian 1	95319	3	11489	48261	83142.03	115175.88	2014	FT
Senior Real Property Appraiser	96292	3	25615	42365	84793.41	115175.51	2014	PT
Pharmacy Technician	93782	29750	76842	46165	83680	115173.57	2014	FT
General Laborer	70190	10671	81347	38663	85786.3	115170.07	2014	FT
Counselor, Juvenile Hall	79466	17028	19800	32736	87209.93	115167.02	2014	FT
Electrical Transit System Mech	95366	3	66043	50972	82450	115160.35	2014	FT
Senior Const Inspector	82324	16235	28941	18463	91603.48	115158.7	2014	PT
Janitorial Svcs Asst Sprv	85300	7104	66386	39868	85448.11	115158.54	2014	FT
Transit Operator	74556	10695	22257	56063	81197.36	115152.66	2014	FT
Airport Communications Disp	94982	1724	41048	13421	95170.12	115139.34	2014	FT
Survey Assistant II	95558	60855	47484	47571	83255.26	115134.14	2014	FT
Special Nurse	4890	24551	53275	2151	113993.77	115133.72	2014	PT
Health Program Planner	96930	3	7	45951	83703.37	115131.42	2014	FT
Prpl Permit and Citation Clerk	93082	43386	7	45295	83904.22	115123.51	2014	FT
Patient Care Assistant	57917	30323	56757	36635	86252.08	115117.06	2014	FT
Transit Operator	71859	15240	19065	52549	82008.44	115105.02	2014	FT
Water Service Inspector	96330	3	16875	48241	83074	115103.24	2014	FT
Cement Mason	87928	65049	82799	42092	84796.12	115094.65	2014	FT
Stationary Engineer	77840	16664	46756	28389	88097.45	115083.04	2014	PT
Medical Records Tech Sprv	94591	15580	66386	46924	83379.98	115082.79	2014	FT
Transit Operator	77779	19762	64707	17212	92346.27	115080.23	2014	FT
Water Service Inspector	96273	3	27842	48218	83052.48	115077.09	2014	FT
Public Health Nurse	95023	3	44963	41403	84969.95	115075.43	2014	PT
Automotive Service Worker	57935	20761	6383	40113	85283.62	115074.7	2014	FT
Librarian 1	95045	3	18398	47958	83096.03	115068.27	2014	FT
Transit Operator	70084	6537	69430	55818	81159.08	115056.49	2014	FT
Stationary Engineer	92524	5454	41144	47292	83234.22	115037.82	2014	FT
Transit Supervisor	88059	53100	41711	45344	83795.03	115026.86	2014	FT
Transit Operator	72939	16192	40167	52424	81962.37	115025.3	2014	FT
Dietitian	95731	3	76842	47950	83054.02	115024.58	2014	FT
Dietitian	95730	3	76842	47950	83054.01	115024.57	2014	FT
Health Program Coordinator 2	95541	60047	42001	47508	83155.75	115017.36	2014	FT
Police Officer 3	88958	38776	67781	39044	85515.06	115010.04	2014	PT
Marriage, Family & Child Cnslr	96386	3	7	48163	82999.5	115008.95	2014	FT
Librarian 1	95327	3	7250	48127	82999.46	115001.57	2014	FT
Librarian 1	95322	3	6616	48037	82981.58	114976.86	2014	FT
Transit Operator	78459	65578	36184	64224	78983.02	114975.46	2014	FT
Environmental Spec	95808	3	7	50853	82295.02	114972.24	2014	FT
Real Property Appraiser	94655	3	7186	50850	82289.33	114966.01	2014	FT
General Laborer Supervisor 1	81608	21427	9362	46610	83350.77	114961.29	2014	FT
Water Quality Technician	93716	37282	7	45625	83622.43	114954.01	2014	FT
Painter	90762	46660	526	47144	83162.66	114929.45	2014	FT
Construction Inspector	94482	44911	60902	19040	91024	114923.42	2014	FT
Administrative Analyst	96335	3	7	48039	82924.51	114919.9	2014	FT
Transit Operator	78256	1937	35579	61120	79768.34	114901.09	2014	FT
Transit Operator	76886	7384	15156	58435	80395.56	114883.42	2014	FT
Administrative Analyst	96466	3	7	47162	83105.54	114878.5	2014	FT
Public Defender's Investigator	96025	3	7	49264	82566.46	114856.7	2014	FT
Senior Personnel Analyst	94071	3	49524	42744	84363.26	114855.08	2014	PT
Transit Operator	77651	11804	3912	48860	82662.39	114846.97	2014	FT
Legal Secretary 2	95735	3	66386	47950	82854.07	114824.63	2014	FT
Chief Clerk	95733	3	66386	47950	82854.04	114824.6	2014	FT
Legal Secretary 2	95731	3	66386	47950	82854.02	114824.58	2014	FT
Assistant Const Inspector	87000	1902	7	43673	84083.32	114821.11	2014	FT
Automotive Machinist	93437	19084	14545	46651	83187.51	114810.09	2014	FT
Transit Operator	71175	18283	64966	50185	82302.8	114809.59	2014	FT
Parts Storekeeper	73615	20110	27686	34141	86533.53	114803.32	2014	FT
Porter Supervisor 1	76285	20242	66708	33622	86637.24	114794.65	2014	FT
Licensed Vocational Nurse	86548	38973	69183	45288	83568.11	114784.84	2014	FT
Social Work Specialist	95393	3	1714	47494	82902.03	114761.3	2014	FT
Program Specialist	96054	3	27653	47907	82789.08	114747.57	2014	FT
Transit Operator	73771	3569	53674	58828	80173.62	114746.55	2014	FT
Librarian 1	95323	3	83724	47893	82781.53	114736.43	2014	FT
Automotive Service Worker	72214	62707	7827	42472	84317.24	114732.2	2014	FT
Librarian 1	93676	3	29902	50705	82094.9	114729.86	2014	FT
Transit Operator	74518	4483	47522	58645	80194.26	114728.22	2014	FT
Maintenance Machinist	95369	40862	64679	47587	82841.89	114723.27	2014	FT
Transit Operator	78441	6393	78520	59260	80041.76	114721.34	2014	FT
Statnry Eng Water Treat Plant	90388	16634	58132	44739	83671.38	114721.14	2014	PT
